name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,created,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed
Greensward Plan,,1994,Y,Manhattan,,M010,7,8,Arsenal Conference Room; 830 Fifth Avenue,Y,,1858,Map of Central Park. Design drawn on a darkened paper in gray black ink with lettering in red-brown.,"H: 50 1/2"" W: 142 1/2"" (in frame); H: 43"" W: 132"" (no frame)",,Ink on paper with frame,,,,Frederick Law Olmsted and Calvert Vaux (designers),,,,,,,Y         ,,,,,
Gretta Moulton Gate,"Moulton, Gretta",1808,Y,Staten Island,High Rock Park,R088,2,50,Nevada Avenue entrance,Y,"November 18, 1995",1995,"Gate of two leaves with openwork pattern, hung on two piers, with plaque mounted on one of the piers","gate w 16' (total); each leaf h 6'9"" x w 7'7½""; each pier h 7' tapering to 3' x l 10' x d 1'6"" (all approximate)",,Gate--black molded steel; piers--dry stone with concrete core; plaque--bronze (?),,,Bradford M. Greene,,Greenbelt Conservancy,,,10/27/1998,,,Y         ,,,"$20,500",,"GRETTA MOULTON GATE / GRETTA MOULTON WAS A HEROINE OF THE / ENVIRONMENTAL MOVEMENT THAT SAVED / HIGH ROCK PARK IN 1965. AN INSPIRED / LEADER OF EARLY EFFORTS TO PRESERVE / THE GREENBELT, SHE WAS ALSO A TRUSTEE / OF THE STATEN ISLAND INSTITUTE OF ARTS / AND SCIENCES AND THE FOUNDER OF THE / FRIENDS OF HIGH ROCK. THIS PARKLAND / AFFIRMS IN PERPETUITY THE PROFOUND / EFFECT OF HER DEVOTION TO CONSERVATION / OF OUR NATURAL RESOURCES. / DESIGN: BRADFORD M. GREENE / ERECTED BY: PHILIP LLOYD RAMPULLA / NEW YORK CITY DEPARTMENT OF PARKS AND RECREATION / HENRY J. STERN, COMMISSIONER / DEDICATED FALL 1995 BY: / THE GREENBELT CONSERVANCY, INC. / "
"griffin, anne",,645,N,Brooklyn,,,5,37,PS 182; 720 dumont Avenue,Y,1930,,tablet,,,bronze,eagle bronze co,,,,gift $115,,,07/01/1993,,,,,,,,
Group of Bears,Group of Bears,646,Y,Manhattan,Central Park,M010,7,8,"Pat Hoffman Friedman Playground, 5th Avenue and 79th Street",Y,"October 11, 1990",1989,"Group of three on integral, graduated plinth on circular pedestal with five steps; plaque","Group H: 7'4"" W: 6' D: 4'8""; Pedestal H: 1'  Diameter: 20'; Plaque H: 1'4"" W: 9""; Weight: 1,500 pounds",CPC,Group and plaque--bronze; Pedestal--granite,Paul King Foundry,,Paul Howard Manship,Bruce Kelly / David Varnell,Samuel N. Friedman,,,07/01/1993,,,Y         ,,,, Animal: other,"Signed on base:  PAUL MANSHIP, SCULPTOR /  Plaque mounted on pedestal:  GROUP OF BEARS / PAUL MANSHIP 1885-1966 / ORIGINAL BRONZE CAST 1932 / THIS BRONZE CAST 1989 / A GIFT BY SAMUEL N. FRIEDMAN / IN MEMORY OF HIS BELOVED WIFE / PAT HOFFMAN FRIEDMAN /"
Growth,Growth,1800,Y,Manhattan,East Harlem Art Park,M166,11,8,East 120th Street & Sylvan Place (between 3rd Ave. & Lex.),Y,"June 26, 1985",ca. 1985,Composition of flowing forms,H: 14' W: 11' D: 9',,Steel (painted),,,Jorge Luis Rodríguez,Housing Preservation and Development Open Spaces Program,"DPR; Percent for Art, New York City",,,06/30/1998,,,Y         ,05/17/1985,,, Sculpture,
Guadalcanal Heroes,,647,Y,Manhattan,Riverside Park,M071,0,6,,M,apprvd art comis 9/10/47,,Plaque on plinth,,,,,,,,Marine Fathers Association,,,07/01/1993,,,,,,," World War II, War Memorial",
Guglielmo Marconi,"Marconi, Guglielmo",973,Y,Manhattan,,,0,0,Loaned to Wireless Operators,L,1939,1924,Bust,"H: 3' 7½"" W: 3' 5"" D: 1'",on loan,White Carara marble,,,Pietro Montana,,Veteran Wireless Operators of America,,,07/01/1993,,,,,,,,
guidance,,649,N,Manhattan,,,1,1,CHAMBERS & CENTRE STS; municipal bldg  chambers st. arch,Y,1912,,2 spandrel reliefs,,,maine granite,,,Adolph Alexander Weinman,,"purchase, $4946 for 2",,,07/01/1993,,,,,,,,
Gus Campise,"campise, gus",208,O,Manhattan,Central Park,M010,7,8,Tennis Building at 93rd Street,Y,Late 1975 or early 1976,,Tounament record board,"H: 15' W: 12""",,"Wood, brass plates",,,,,,,,07/01/1993,,,,,,,,NEW YORK CITY/DEPARTMENT OF RECREATION/A FLIGHT/TENNIS TOURNAMENT/A MEMORIAL TO/GUS CAMPISE/FOR HIS ENERGETIC EFFORTS/TOWARD TENNIS IN PUBLIC PARKS
King Park (sundial fragment),,866,Y,Queens,Rufus King Park,Q023,12,0,,S,,,,,,,,,,,,,,07/01/1993,,,,,,,,"FELLOWS, PVT. EDWARD /  JAMAICA MEMORIAL / KING MANSION PLAQUE/ KING PARK CANNON / KING, RUFUS/  "
Gus Stanley Memorial,,652,Y,Manhattan,Highbridge Park,M037,12,7,180th Street and Amsterdam Avenue,Y,Rededicated 1953,,Tablet on plinth,,,"Bronze, Barre granite",,,,,Gift,,,07/01/1993,,,Y         ,,,," World War II, War Memorial, Soldier","THE GUS STANLEY MEMORIAL/ THESE TWO TREES PLANTED AND DEDICATED / BY THEIR FRIENDS AND NEIGHBORS / TO THE MEMORY OF / THE FOLLOWING MEN OF 180 STREET WHO GAVE THEIR LIVES IN WORLD WAR II WOODWARD W. CRAWFORD    MILTON G. STATHIS/ COSTAS LEKANIDES        ANDREW G. SUMAKIS/ OLIVER LEON             CHARLES WEINSTEIN/ STEPHEN OLANCIN         EDWARD S. SCHMELZER JR./ VITO A. SCARINGI        JOHN WILLIAMS/  SIZE:TABLET: 1'H X 1'8"", PLINTH 1'5""H X 2'1""W X 2 1/2""D"
Gustave Hartman,,684,Y,Manhattan,,M254,3,2,Avenue C at E. Houston Street,M,1937,,Portrait tablet,"H: 2'1"" W: 1'7""",,Bronze,,,,,Eleventh Ward Association,,,07/01/1993,,,,,,," Educator, Politcal Figure",GUSTAVE HARTMAN SQUARE / IN LOVING MEMORY OF / GUSTAVE HARTMAN/ 1880-1936 / TEACHER - LEGISLATOR / JUDGE - HUMANITARIAN / ERECTED BY / ELEVENTH WARD ASSOCIATION / 1937
"hale, nathan",,655,N,Manhattan,,,6,5,"UN INT'L SCHOOL, SE CORNER; first ave at 51st st",Y,1935,,plaque,"36""h x24""w",,bronze,,,,,"manhattan chapter, dar",,,07/01/1993,,,,,,,,
"hale, nathan tablet",,656,N,Manhattan,,,6,4,"GRANITE WALL, CORNER OF BLDG; se corner, 1st ave at 46th st",Y,"November 16, 1915",,bronze tablet,"2'h x 1'8""w",,bronze,,,,,mary wash. col. chpter dar,,,07/01/1993,,,,,,,,"NEAR THIS SIT / NATHAN HALE / CAPTAIN IN THE CONTINENTAL ARMY / WHO WAS APPREHENDED WITHIN THE / BRITISH LINES / WHILE SEEKING INFORMATION FOR / WASHINGTON / WAS EXECUTED / 22 SEPTEMBER 1776 / HIS LAST WORDS WERE / ""i ONLY REGRET THAT i HAVE BUT ONE / LIFE TO LOSE FOR / MY COUNTRY"" / ERECTED BY THE MARY WASHINGTON COLONIAL CHAPTER DAR / 16 MOVEMBER 1915  INSIGNIA OF DAR IN LR CORNER"
Hall of Fame for Great Americans,Hall of Fame for Great Americans,1748,N,the Bronx,,,5,14,Bronx Community College,Y,"May 30, 1901",ca. 1901,semicircular vaulted colonnade,l 630' x w 10',,granite,,,,Stanford White,New York University,,,09/30/1997,,,,,,,,
Hamilton Grange,,659,N,Manhattan,,,9,7,"HAMILTON GRANGE, INTERIOR; convent ave and 141st st",Y,"April, 1907",,tablet on interior wall,"1'10""h x 2'8""w",,bronze,,,,,gift of wash heights chpt dar,,,07/01/1993,,,,,,,,HAMILTON GRANGE / THIS HOUSE WAS THE HOME OF / GENERAL ALEXANDER HAMILTON / FIRST SECRETARY OF THE TREASURY / OF THE UNITED STATES UNDER PRESIDENT WASHINGTON / BUILT 1801 ON SOUTH SIDE OF 143 STREET WEST OF CONVENT AVENUE  / MOVED TO EAST SIDE OF CONVENT AVENUE NEAR 141 STREET 1889 / THEIS TABLET WAS PLACED BY / THE WASHINGTON HEIGHTS CHAPTER / DAUGHTERS OF THE AMERICAN REVOLUTION/ APRIL 1907
Hamilton Grange Exterior,,660,N,Manhattan,,,9,7,HAMILTON GRANGE; convent ave and 141st st,Y,1937,,tablet on exterior wall,,,bronze,,,,,ny state dept of education,,,07/01/1993,,,,,,,,"HAMILTON GRANGE / THE HOME OF / ALEXANDER HAMILTON / 1757 -A.B. -A.M. -L.L.D. -1804 / STATESMAN, SOLDIER, ADMINISTRATOR, LAWYER/ CAPTAIN / LT. COL. STAFF OF GENERAL WASHINGTON / MAJOR GENERAL/ MEMBER OF CONGRESS / MEMBER OF NEW YORK LEGISLATURE / DELEGATE TO CONSTITUTIONAL CONVENTION / FIRST SECRETARY OF THE TREASURY/ LEADER OF THE FERALIST PARTY / - HE BUILT THIS HOUSE IN 1802- MARKED BY / THE NEW YORK STATE EDUCATION DEPARTMENT / 1937/  PLAQUE HAS PORTRAIT MEDALLION AT TOP "
Hamilton Grange State Ed Standard,,661,N,Manhattan,,,9,7,CONVENT AVENUE AND 141ST ST,Y,1932,,Sign standard,,,Iron,,,,,state education department,,,07/01/1993,,,,,,,,"NEW YORK / HAMILTON GRANGE / GEN. ALEXANDER HAMILTON, / ONE OF THE FRAMERS OF / THE CONSTITUTION, FIRST / SECRETARY OF THE TREASURY,/ BUILT THIS HOUSE IN 1802 / STATE EDUCATION DEPARTMENT 1932 "
Hamilton W. Robinson,,1355,N,Manhattan,,,1,1,COUNTY COURTHOUSE - RM. 317; prince and centre Streets,Y,1879,,tablet,,,bronze,j. & r. lamb,,,,gift,,,07/01/1993,,,,,,,,
Hans Christian Andersen,"Andersen, Hans Christian",36,Y,Manhattan,Central Park,M010,7,8,"On raised plaza west of Conservatory Lake, East 74th Street and East Drive",Y,"September 18, 1956",1956,"Seated figure (heroic scale) on bench, cygnet figure","Figure H: 9'6"" W: 6'1"" D: 6'2""; Bench H: 3'3"" W: 21'2"" D: 17'4""; Cygnet figure H: 1'10½""",CPC,Figures--bronze; Bench--Stony Creek pink granite (polished),Modern Art Foundry,,Georg John Lober,Otto F. Langmann (Bench),Danish American Women's Association,,,07/01/1993,,,Y         ,,,"$73,585 (estimated)"," Sculpture, Writer, Literary Character, Juvenile, Animal: other","1) Bench, rear: HANS * CHRISTIAN * ANDERSEN / THIS MONUMENT IS THE GIFT OF / THE CHILDREN OF DENMARK AND / NEW YORK CITY AND THEIR FRIENDS / 1956 / SPONSORED BY / THE DANISH AMERICAN WOMEN'S ASSOCIATION / BARONESS ALMA DAHLERUP FOUNDER /  2) In open book: THE UGLY DUCKLING /---/ IT WAS BEAUTIFUL IN THE COUNTRY. IT WAS SUMMER / THE WHEAT FIELDS WERE GOLDEN AND THE OATS WERE / GREEN. DOWN AMONG THE GREEN / MEADOWS AND IN THE MIDDLE OF THE FORESTS WERE / DEEP LAKES. YES IT WAS INDEED LOVELY OUT / THERE IN THE COUNTRY. IN THE MIDST OF / THE SUNSHINE THERE STOOD AN OLD MANOR / HOUSE THAT HAD A DEEP MOAT AROUND IT. / FROM THE WALLS OF THE MANOR RIGHT DOWN TO / THE WATER'S EDGE [...]  3) Hat brim, proper right: OTTO F. LANGMANN / -ARCHITECT- / GEORG J. LOBER / -SCULPTOR- / 1956 ©  4) Hem of coat, proper left rear: MODERN ART FDRY N.Y."
Hans Christian Andersen,"Andersen, Hans Christian",36,Y,Manhattan,Central Park,M010,7,8,"On raised plaza west of Conservatory Lake, East 74th Street and East Drive",Y,"September 18, 1956",1956,"Seated figure (heroic scale) on bench, cygnet figure","Figure H: 9'6"" W: 6'1"" D: 6'2""; Bench H: 3'3"" W: 21'2"" D: 17'4""; Cygnet figure H: 1'10½""",CPC,Figures--bronze; Bench--Stony Creek pink granite (polished),Modern Art Foundry,,Georg John Lober,Otto F. Langmann (Bench),Danish American Women's Association,,,07/01/1993,,,Y         ,,,"$73,585 (estimated)"," Sculpture, Writer, Literary Character, Juvenile, Animal: other","1) Bench, rear: HANS * CHRISTIAN * ANDERSEN / THIS MONUMENT IS THE GIFT OF / THE CHILDREN OF DENMARK AND / NEW YORK CITY AND THEIR FRIENDS / 1956 / SPONSORED BY / THE DANISH AMERICAN WOMEN'S ASSOCIATION / BARONESS ALMA DAHLERUP FOUNDER /  2) In open book: THE UGLY DUCKLING /---/ IT WAS BEAUTIFUL IN THE COUNTRY. IT WAS SUMMER / THE WHEAT FIELDS WERE GOLDEN AND THE OATS WERE / GREEN. DOWN AMONG THE GREEN / MEADOWS AND IN THE MIDDLE OF THE FORESTS WERE / DEEP LAKES. YES IT WAS INDEED LOVELY OUT / THERE IN THE COUNTRY. IN THE MIDST OF / THE SUNSHINE THERE STOOD AN OLD MANOR / HOUSE THAT HAD A DEEP MOAT AROUND IT. / FROM THE WALLS OF THE MANOR RIGHT DOWN TO / THE WATER'S EDGE [...]  3) Hat brim, proper right: OTTO F. LANGMANN / -ARCHITECT- / GEORG J. LOBER / -SCULPTOR- / 1956 ©  4) Hem of coat, proper left rear: MODERN ART FDRY N.Y."
Happy Land Memorial,Happy Land Memorial,1772,Y,the Bronx,Crotona Parkway Malls,X011,6,15,Southern Boulevard and Tremont Avenue,Y,"June 17, 1995",ca. 1995,Obelisk and pedestal,"Obelisk H: 9'6"" (?) W: 3' D: 3'; Pedestal H: 1'3"" W: 5' D: 5'",Office of the Bronx Borough President,Rose granite (smooth honed),,A. Ottavino Corp.,,Steve de Noyer; Claire Dudley; José Antonio Velásquez,,,,11/05/1997,,,Y         ,,,"$26,500",,"IN MEMORY / OF THE / 87 MEN AND WOMEN / WHO LOST THEIR LIVES / IN THE / HAPPY LAND / SOCIAL CLUB FIRE / AT 1959 SOUTHERN BLVD. / WEST OF THIS SITE / ON MARCH 25, 1990 / DEDICATED 1995 / MAY THEY ALL BE HAPPY IN ETERNITY / ALTHOUGH WE CANNOT SEE THEM / FOREVER THEY WILL BE / A BEAUTIFUL PART OF OUR HEARTS' MEMORY / [87 NAMES]"
happyland,,2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hard, henry",,671,N,Brooklyn,,,0,0,,Y,,,,,,,,,,,,,,07/01/1993,,,,,,,,
Harlem Heights First Line of Defense Marker,Harlem Heights First Line of Defense Marker,672,Y,Manhattan,Broadway Center Plots,M095,9,7,Between 147th and 148th Streets,Y,"September 29, 1909",ca. 1909,Recessed plaque on natural boulder,"Plaque H: 1'8"" W: 1'6""; Boulder H: 3' W: 2'6"" D: 2'6""",,Bronze,"J.V. & R.V. Lamb (original plaque); Newman Brothers, Inc., Cincinnati, OH (replacement plaque)",,,,"Washington Heights Chapter, Daughters of the American Revolution",,,07/01/1993,,,Y         ,,,$100," Revolutionary War, War Memorial",THIS STONE / MARKS THE POSITION OF / THE FIRST LINE OF DEFENCE / CONSTRUCTED ACROSS / THESE HEIGHTS AND / BRAVELY DEFENDED BY / THE AMERICAN ARMY / 1776 / ERECTED BY / THE WASHINGTON HEIGHTS CHAPTER / DAUGHTERS OF / THE AMERICAN REVOLUTION / SEPTEMBER 29 1909 [D.A.R. seal at right]
Harlem Heights Main Line of Defense Plaque,Harlem Heights Main Line of Defense Plaque,678,N,Manhattan,,,9,7,"recessed in perimeter wall of Trinity Cemetery, Broadway and 153rd Street",Y,1901,ca. 1901,Plaque with bas-relief of cannon,"h 2'2"" x w 3'",,Bronze,,,Albert Weinert,,Sons of the Revolution in the State of New York,,,07/01/1993,,,,,,," Revolutionary War, War Memorial","UPON THIS SITE AND ACROSS THESE HEIGHTS / STOOD THE MAIN LINE OF DEFENCES / THROWN UP BY WASHINGTON'S ARMY / SEPTEMBER 1776. IT WAS HELD UNTIL / FORT WASHINGTON FELL ON NOVEMBER / 16TH., WHEN PART OF THE FIGHTING OCCURRED / AT THIS POINT. / [bas-relief of cannon] / ERECTED BY THE SONS OF THE REVOLUTION / IN THE STATE OF NEW YORK 1901."
Harlem Heights Middle Redoubt Marker,Harlem Heights Middle Redoubt Marker,679,N,Manhattan,,,9,7,"east section of Trinity Cemetery, Broadway and 153rd Street",Y,"May 5, 1929",ca. 1929,plaque on boulder,"h 1'10"" x w 1'5""",,plaque--bronze; boulder--granite,,,Paul Wayland Bartlett,,"Washington Heights Chapter, National Society of Daughters of the American Revolution",,,07/01/1993,,,,,,," War Memorial, Revolutionary War","THIS MARKS THE MIDDLE REDOUBT / BUILT BY / THE AMERICAN ARMY 1776 / AT THIS POINT ON NOVEMBER 16, 1776 / UNDER / GENERAL WASHINGTON / OCCURRED SOME OF THE / FIERCEST FIGHTING OF / THE BATTLE OF / WASHINGTON HEIGHTS / ERECTED BY / WASHINGTON HEIGHTS CHAPTER / N.S.D.A.R. / MAY 5, 1929"
Harlem Heights Second Line of Defense Plaque,Harlem Heights Second Line of Defense Plaque,673,N,Manhattan,,,9,7,"exterior wall of Trinity Chapel, Broadway and 155th  Street",Y,"November 25, 1915",ca. 1915,Plaque,h 3' x w 2',,Bronze,,,,,"Washington Heights Chapter, Daughters of the American Revolution",,,07/01/1993,,,,,,," War Memorial, Revolutionary War",WITHIN TRINITY CEMETERY IN 1776 / THE AMERICAN ARMY / CONSTRUCTED THE MIDDLE REDOUBT / AND OTHER WORKS OF / THE SECOND LINE OF DEFENSE / WHICH UNDER THE OBSERVATION OF / GENERAL WASHINGTON / WAS DEFENDED BY / THE THIRD PENNSYLVANIA BATTALION / AND / THE CONNECTICUT RANGERS / UNDER / COLONEL LAMBERT CADWALADER / AND / CAPTAIN LEMUEL HOLMES / NOVEMBER 16 / PRESENTED BY THE / WASHINGTON HEIGHTS CHAPTER / DAUGHTERS OF THE AMERICAN REVOLUTION / NOVEMBER 25 1915
Harlem Heights Third Line of Defense Plaque,Harlem Heights Third Line of Defense Plaque,674,N,Manhattan,,,12,7,"exterior wall of building, 159th Street and Broadway",Y,"November 16, 1909",ca. 1909,Plaque,,,Bronze,,,,,"Mary Washington Colonial Chapter, Daughters of the American Revolution",,,07/01/1993,,,,,,," War Memorial, Revolutionary War",THIS TABLET / MARKS THE POSITION OF / 'THE THIRD LINE OF DEFENCE' / AND COMMEMORATES THE BRAVERY OF / COLONEL ROBERT MAGAW / AND HIS THREE THOUSAND MEN / AT THE BATTLE OF FORT WASHINGTON / 16 NOVEMBER 1776 / ERECTED BY / THE MARY WASHINGTON / COLONIAL CHAPTER / D A R / 16 NOVEMBER 1909 [D.A.R. seal at right]
Harlem Hybrid,Harlem Hybrid,681,Y,Manhattan,Roosevelt Square,M189,9,7,West 125th Street and Morningside Avenue,Y,"October 26, 1976","Oct. 12/13, 1976",Irregular assemblage of plates of different shapes and thicknesses,"H: 10'6"" W: 12'7"" L: 27'; Weight:: 5,500 lbs.",,Bronze (welded),,,Richard Howard Hunt,,Peter Putnam/ Mildred Andrews Fund,,,07/01/1993,,,Y         ,,,, Sculpture,"welded on sculpture: ""HARLEM HYBRID / R. HUNT 1976 / P.S.  H.H.  B.M.""  (N.b. Initials are those of  Richard Hunt's assistants.)"
harlem river drive pylons,,682,Y,Manhattan,Harlem River Driveway,M039,12,7,,M,,,,,,,,,,,,,,07/01/1993,,,,,,,,
Harold E. Butternick,"butternick, harold e.",203,N,Manhattan,,,7,6,"COMMERCE HIGH SCHOOL; 65th Street, between 8 and 7th Avenues",Y,1927,,tablet,,,bronze,,,"Allen G, Newman",,gift,,,07/01/1993,,,,,,, Sculpture,
Harold W. Cohn Memorial,"Cohn, Harold W.",1892,Y,Brooklyn,Cohn Square,B115,1,33,Intersection of Bedford and Division Avenues,Y,circa 1991,circa 1991,"Stele, plaque with bas-relief","Stele H: 6'7"" W: 1'8"" D: 8""; Plaque H: 3' W: 10"" D: 1½""",,"North Carolina pink Lawlor stone, bronze",Bedi-Makky Art Foundry Corp.,,Stanislaw Lutostanski,,Friends of Cohn Square,Y,"agreement with Friends of Cohn Square, and the Cohn family",07/17/2001,,,Y         ,,,," Politcal Figure, Public Servant"," HON. HAROLD W. COHN / 1913-1974 / STATE ASSEMBLYMAN 1958-1969 / CIVIL AND ACTING / SUPREME COURT JUDGE 1969-1974 / A GREAT HUMANITARIAN / RESPONSIBLE FOR THE / BETTERMENT OF THE / QUALITY OF LIFE / FOR THE CITIZENS OF / WILLIAMSBURG / GREENPOINT / FORT GREENE / OCTOVBER 28, 1992 /"
Harriet Feil Gural,,651,Y,the Bronx,Van Cortlandt Park,X092,0,11,Southwest section,M,1945,,Plaque on plinth,"Plaque H: 3 ½"" W: 5""; Plinth H: 7"" W: 8 ½""",,"Bronze, Barre granite",,,,,Mrs. Benjamin Hayes,,,07/01/1993,,,,,,, Women,"  APRROVED BY ART COMMISSION 7/11/49  IN LOVING MEMORY / OF ""HAPPY"" / HARRIET FIEL GURAL / 1918-1945 "
public school #186,,1255,N,Manhattan,,,0,0,,Y,,,,,,,,,,,,,,07/01/1993,,,,,,,,
Harriet Tubman Memorial,,1998,Y,Manhattan,,MZ226,9,9,"West 122nd Street, St. Nicholas Avenue and Frederick Douglass Boulevard",Y,"Nov. 13, 2008",2007,Over-lifesize portrait sculpture,Approx. 13' H 14' L,,"Bronze, Chinese granite","Decker Studios, North Hollywood, CA","Decker Studios, North Hollywood, CA",Alison Saar,Quennell Rothschild Partners (landscape design),"Percent for Art, Department of Cultural Affairs",,,,Swing Low,,Y         ,10/02/2007,,"$800,000"," Women, Portrait","HARRIET TUBMAN MEMORIAL / ALISON SAAR / SWING LOW, 2007 / PLAZA DESIGN IN COLLABORATION WITH / QUENNELL ROTHSCHILD & PARTNERS LLP / COMMISSIONED BY THE CITY OF NEW YORK / MANHATTAN BOROUGH PRESIDENT'S OFFICE / DEPARTMENT OF CULTURAL AFFAIRS PERCENT FOR ART PROGRAM / DEPARTMENT OF PARKS & RECREATION / DEPARTMENT OF TRANSPORTATION / DEPARTMENT OF DESIGN AND CONSTRUCTION /"
harriman panels,,683,N,Manhattan,,,0,0,,M,,,,,,,,,,,,,,07/01/1993,,,,,,,,
Harry Hoffman,,733,Y,Manhattan,Washington Square Park,M098,2,1,,M,approved by art comis 7/11/49,,,,,,,,,,mrs. h. hoffman,,,07/01/1993,,,,,,,,
Haym Salomon Memorial,"Solomon, Haym",1798,Y,Queens,Shalom Square,QZ019,8,24,"Main Street, Vleigh Place, 72nd Drive, and 72 Road",Y,"June 27, 1976",ca. 1976,Stele on base,"Stele H: 4' W: 2'1"" D: 1'1""; Base H: 1' W"" 4'1"" D: 2'7""",,Stele--granite (unpolished); Base--concrete (rusticated at top and sides),,,,,"Nat and Maxwell Dorr Post No. 793, Jewish War Veterans of the United States of America",,,06/23/1998,,,Y         ,,,," Revolutionary War, War Memorial","THIS PLAQUE IS DEDICATED TO HAYM SALOMON IN/RECOGINITION OF HIS TIRELESS EFFORTS ON BEHALF/OF THE REVOLUTIONARY ARMY. SALOMON A POLISH JEWISH IMMIGRANT, WAS SO/IMBUED WITH THE SPIRIT OF FREEDOM, HE, WITHOUT/MUCH ASSISTANCE, FINANCED THE AMERICAN/REVOLUTIONARY WAR BY HIS INEXHAUSTIBLE FUND-/RAISING.  THROUGH HIS HEALTH WAS RUINED DURING/HIS IMPRISONMENT BY THE BRITISH, SALOMON’S FAITH/IN JUDAISM NEVER FALTERED, NOR DID HIS BELIEF IN/THE GREATNESS OF OUR COUNTRY.  WHILE HE RAISED HUNDREDS OF THOUSANDS OF DOLLARS FOR THE WAR/EFFORT, SALOMON, IRONICALLY, DIED PENNILESS. APPROXIMATELY 100 YEARS AFTER HIS DEATH, HAYM/SALOMON WAS FINALLY ACKNOWLEDGED BY THE/UNITED STATES FOR HIS EXTRAORDINARY PATRIOTISM."
"Hazen, Irving A.",,690,N,Staten Island,,,1,49,RICHMOND HILL HIGH SCHOOL  - Now South Richmond High School,Y,1930,,plaque,no size,,bronze,birmingham gild ltd,,,,"board of education, $150.",,,07/01/1993,,,,,,,,
Hebe Figure,Hebe Figure,1538,Y,Manhattan,,,5,3,"Municipal Art Society, 457 Madison Avenue, New York, NY 10022",L,1891,ca. 1888,Finial female figure,"h 5'1½""",,Zinc,"J.L. Mott, Inc.",,Bertel Thorvaldsen,,Henry Cogswell; Moderation Society,,,07/01/1993,,,,,,,,
Hebrew Apostle,,692,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,Brooklyn Museum; Eastern Parkway,Y,1909,,Statue,no size,,Indiana limestone,,,Henry Augustus Lukeman,,Purchase,,,07/01/1993,,,,,,"$3,000",,
Hebrew Law,,693,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,Brooklyn Museum; Eastern Parkway,Y,1909,,Statue,,,Indiana limestone,,,Henry Augustus Lukeman,,Purchase,,,07/01/1993,,,,,,"$3,000",,
Hebrew Orphan Asylum,,694,Y,Manhattan,Jacob H. Schiff Playground,M223,9,7,"PS 192, PARK BUILDING",N,"April 13, 1958",,"Plaque on wall - Stolen May, 1974","1'10""h x 2'4""",,Bronze,,,,,Alumni of Hebrew Orphan Asylum,,,07/01/1993,,,,,,,,"THE HEBREW ORPHAN ASYLUM /  FOUNDED 1822 / OCCUPIED THIS SITE FROM 1884 TO 1941 /  IN GRATEFUL MEMORY / THIS PLAQUE IS ERECTED BY THE ALUMNI / OF THE HEBREW ORPHAN ASYLUM / ON BEHALF OF THE BOYS AND GIRLS / TO WHOM IT WAS A HOME /  APRIL 13, 1958  "
Hebrew Prophet,,695,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,Brooklyn Museum; Eastern Parkway,Y,1909,,Statue,,,Indiana limestone,,,Henry Augustus Lukeman,,Purchase,,,07/01/1993,,,,,,"$3,000",,
hebrew psalmist,,696,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,,,,indiana limestone,,,henry augustus lukeman,,"purchase, $3000",,,07/01/1993,,,,,,,,
Heinrich Heine Fountain,Heinrich Heine Fountain,700,Y,the Bronx,Joyce Kilmer Park,X028,4,17,At southern end of park,Y,"July 8, 1899",ca 1888,"Seated figure (over life-size) on pedestal with bas-reliefs; three lounging figures below, in a large basin; tablet nearby","Total H: 19'; Basin Diameter: 34'6""",MAS/SF,"Tyrolean marble, Dover marble, bronze, granite",,,Ernst Herter,,"Arion, a German-American singing society",,,07/01/1993,Lorelei Fountain,,Y         ,,07/08/1999,"$35,000",,
Heisser Square Park Cannon,Heisser Square Park Cannon,702,Y,Brooklyn,Heisser Square Park,B045,4,37,,N,ca. 1920,ca. 1915,wheeled cannon,,,"iron, wood, etc. (?)",,,,,,,,07/01/1993,,,,,,," War Memorial, World War I",
Heisser Square Park Tree Markers,,703,Y,Brooklyn,Heisser Square Park,B045,4,37,"Knickerbocker and Myrtle Avenue, Bleecker Street",Y,1920,,5 tablets,"H: 4 ½"" W: 9""",,Bronze,,,,,,,,07/01/1993,,,Y         ,,,," World War I, War Memorial","HEISSER, SGT. CHARLES W. (3) GOEHRING, SGT. EDWARD RUDOLPH, CORP GEORGE MARTIN, PVT, WILLIAM J.  [existing tablet] HEISSER SQUARE / WAS NAMED IN HONOR OF / SGT. CHARLES W. HEISSER / CO. H. 106TH. INFANTRY / KILLED IN ACTION, SEPT. 29, 1918. / HINDENBURG LINE, / LIES IN BONY, FRANCE /"
